"Story","Title","Result","Date","Stability","Duration (s)"
"Restful CURD test","This method will create a Token","SUCCESS","2023-01-10T21:34:01.589Z[Europe/London]","0.0","17.87"
"Restful CURD test","This method will create and verify a booking","SUCCESS","2023-01-10T21:34:19.564Z[Europe/London]","0.0","2.53"
"Restful CURD test","This method will get booking with Id","SUCCESS","2023-01-10T21:34:22.098Z[Europe/London]","0.0","0.52"
"Restful CURD test","This method will updated a booking with ID","SUCCESS","2023-01-10T21:34:22.625Z[Europe/London]","0.0","1.02"
"Restful CURD test","This method will delete a booking with ID","SUCCESS","2023-01-10T21:34:23.644Z[Europe/London]","0.0","0.98"
"Restful booker with tags","This test will return a correct response code 200 when GET request is used to get booking ids","SUCCESS","2023-01-10T21:34:01.424Z[Europe/London]","0.0","13.34"
"Restful booker with tags","This method will get error code 404 when a method is use without providing resource","SUCCESS","2023-01-10T21:34:14.971Z[Europe/London]","0.0","0.77"
"Restful booker with tags","This test will provide an error code 403 when user doesn't provide authentication","SUCCESS","2023-01-10T21:34:15.752Z[Europe/London]","0.0","0.5"
"Restful booker data driven test","Data driven test for creating multiple bookings","SUCCESS","2023-01-10T21:34:19.621Z[Europe/London]","0.0","484.01"
"Restful Booker","Check End to End CURD operations","SUCCESS","2023-01-10T21:34:01.575Z[Europe/London]","0.0","25.13"
"HTTP Request Method Tests on Restful Booker","Check if user can access all booking Ids","SUCCESS","2023-01-10T21:34:27.357Z[Europe/London]","0.0","0.69"
"HTTP Request Method Tests on Restful Booker","Check if user can create a new booking","SUCCESS","2023-01-10T21:34:28.173Z[Europe/London]","0.0","0.92"
"HTTP Request Method Tests on Restful Booker","Check if user can update an existing booking","SUCCESS","2023-01-10T21:34:29.148Z[Europe/London]","0.0","1.01"
"HTTP Request Method Tests on Restful Booker","Check if user can delete an existing record","SUCCESS","2023-01-10T21:34:30.222Z[Europe/London]","0.0","0.91"
